車站名稱,提供YouBike
"七堵","Y"
"三坑","Y"
"三塊厝","N"
"三姓橋","Y"
"三民","N"
"三義","Y"
"三貂嶺","N"
"上員","N"
"中壢","Y"
"中洲","Y"
"中里","N"
"九曲堂","Y"
"九讚頭","N"
"二水","Y"
"二結","N"
"五堵","Y"
"五權","Y"
"仁德","N"
"佳冬","N"
"保安","Y"
"光復","Y"
"內壢","N"
"內惟","N"
"內灣","N"
"內獅","N"
"八堵","Y"
"八斗子","N"
"六塊厝","N"
"六家","N"
"冬山","Y"
"加祿","Y"
"北埔","N"
"北新竹","N"
"北湖","Y"
"十分","N"
"千甲","N"
"南勢","N"
"南州","Y"
"南平","Y"
"南方小站","N"
"南樹林","N"
"南港","Y"
"南澳","Y"
"南科","N"
"南靖","N"
"合興","N"
"吉安","Y"
"后里","Y"
"和仁","N"
"和平","Y"
"員林","Y"
"善化","Y"
"嘉北","N"
"嘉義","Y"
"四城","N"
"四腳亭","N"
"埔心","Y"
"基隆","Y"
"壽豐","Y"
"外澳","N"
"大富","N"
"大山","N"
"大慶","Y"
"大村","N"
"大林","Y"
"大橋","N"
"大武","Y"
"大湖","Y"
"大溪","N"
"大甲","Y"
"大肚","Y"
"大華","N"
"大里","N"
"太原","Y"
"太麻里","Y"
"宜蘭","Y"
"富岡","Y"
"富源","Y"
"富貴","N"
"富里","Y"
"屏東","Y"
"山佳","N"
"山里","N"
"岡山","Y"
"崁頂","N"
"崇德","Y"
"崎頂","N"
"嶺腳","N"
"左營","N"
"平和","N"
"平溪","N"
"康樂","Y"
"彰化","Y"
"後壁","N"
"後庄","N"
"後龍","Y"
"志學","Y"
"成功","Y"
"拔林","N"
"斗六","Y"
"斗南","Y"
"新城","Y"
"新埔","N"
"新富","N"
"新左營","Y"
"新市","Y"
"新烏日","Y"
"新營","Y"
"新竹","Y"
"新莊","N"
"新豐","Y"
"新馬","N"
"日南","Y"
"景美","N"
"暖暖","N"
"望古","N"
"東海","N"
"東澳","Y"
"東竹","Y"
"東里","Y"
"松山","Y"
"松竹","Y"
"板橋","Y"
"枋寮","Y"
"枋山","N"
"枋野","N"
"林內","Y"
"林榮新光","Y"
"林邊","Y"
"林鳳營","N"
"柳營","N"
"栗林","Y"
"桃園","Y"
"楊梅","Y"
"楠梓","Y"
"榮華","N"
"樹林","Y"
"橋頭","Y"
"橫山","N"
"正義","N"
"武塔","N"
"歸來","N"
"民族","N"
"民雄","Y"
"水上","N"
"水里","N"
"永康","Y"
"永樂","N"
"永靖","N"
"汐止","Y"
"汐科","N"
"池上","Y"
"沙崙","N"
"沙鹿","Y"
"泰安","N"
"浮洲","N"
"海科館","N"
"海端","N"
"清水","Y"
"湖口","Y"
"源泉","N"
"漢本","N"
"潭子","Y"
"潮州","Y"
"潮州基地","N"
"濁水","N"
"瀧溪","Y"
"烏日","N"
"牡丹","N"
"猴硐","Y"
"玉里","Y"
"瑞和","N"
"瑞源","Y"
"瑞穗","Y"
"瑞芳","Y"
"田中","Y"
"白沙屯","Y"
"百福","N"
"知本","Y"
"石城","N"
"石榴","N"
"石龜","N"
"礁溪","Y"
"社頭","Y"
"福隆","Y"
"科工館","N"
"竹中","N"
"竹北","Y"
"竹南","Y"
"竹東","N"
"竹田","N"
"精武","Y"
"羅東","Y"
"美術館","Y"
"臺中","Y"
"臺中港","N"
"臺北","N"
"臺北-環島","N"
"臺南","Y"
"臺東","Y"
"花壇","Y"
"花蓮","Y"
"苑裡","Y"
"苗栗","Y"
"菁桐","N"
"萬榮","Y"
"萬華","Y"
"蘇澳","Y"
"蘇澳新","Y"
"西勢","Y"
"談文","N"
"豐原","Y"
"豐富","Y"
"豐田","N"
"貢寮","Y"
"路竹","Y"
"車埕","N"
"追分","N"
"通霄","Y"
"造橋","N"
"金崙","Y"
"銅鑼","Y"
"鎮安","N"
"長榮大學","N"
"關山","Y"
"隆田","Y"
"集集","N"
"雙溪","Y"
"頂埔","N"
"頭城","Y"
"頭家厝","N"
"香山","Y"
"高雄","Y"
"鳳山","Y"
"鳳林","Y"
"鶯歌","Y"
"鹿野","Y"
"麟洛","N"
"鼓山","N"
"龍井","Y"
"龍泉","N"
"龍港","N"
"龜山","N"
